score_decile,clients,deposits,conversion,avg_score,deposit_share,cumulative_clients,cumulative_deposits,cumulative_client_share,cumulative_deposit_share,cost,revenue,profit,roi,profit_per_client
1,1030,527,0.5116504854368932,0.8688987674130257,0.4543103448275862,1030,527,0.10002913469942702,0.4543103448275862,3090,42160,39070,12.64401294498382,37.932038834951456
2,1030,225,0.21844660194174756,0.6392540808654074,0.1939655172413793,2060,752,0.20005826939885404,0.6482758620689655,3090,18000,14910,4.825242718446602,14.475728155339805
3,1029,97,0.09426627793974733,0.44262733882526384,0.08362068965517241,3089,849,0.2999902884335243,0.7318965517241379,3087,7760,4673,1.5137674117265953,4.541302235179786
4,1030,52,0.05048543689320388,0.3776783919075462,0.04482758620689655,4119,901,0.40001942313295136,0.7767241379310345,3090,4160,1070,0.34627831715210355,1.0388349514563107
5,1029,58,0.056365403304178816,0.3409622496199664,0.05,5148,959,0.49995144216762166,0.8267241379310345,3087,4640,1553,0.5030774214447684,1.5092322643343052
6,1030,53,0.05145631067961165,0.31079322791623515,0.045689655172413794,6178,1012,0.5999805768670486,0.8724137931034482,3090,4240,1150,0.37216828478964403,1.116504854368932
7,1030,46,0.04466019417475728,0.27998668270250354,0.039655172413793106,7208,1058,0.7000097115664756,0.9120689655172414,3090,3680,590,0.19093851132686085,0.5728155339805825
8,1029,44,0.042759961127308066,0.24742797939130495,0.03793103448275862,8237,1102,0.7999417306011459,0.95,3087,3520,433,0.14026563006154844,0.4207968901846453
9,1030,32,0.031067961165048542,0.2185391070706179,0.027586206896551724,9267,1134,0.899970865300573,0.9775862068965517,3090,2560,-530,-0.1715210355987055,-0.5145631067961165
10,1030,26,0.02524271844660194,0.17972721704288502,0.022413793103448276,10297,1160,1.0,1.0,3090,2080,-1010,-0.3268608414239482,-0.9805825242718447
