,no,yes,difference_yes_minus_no
age,39.911185290576775,40.91314655172414,1.0019612611473647
duration,220.84480682937507,553.1911637931034,332.34635696372834
campaign,2.6330852577432418,2.0517241379310347,-0.5813611198122071
pdays,984.1138776403634,792.0355603448276,-192.07831729553584
previous,0.13237386450694977,0.49267241379310345,0.3602985492861537
emp.var.rate,0.24887545146109225,-1.2334482758620688,-1.482323727323161
cons.price.idx,93.6037570592098,93.35438599137932,-0.2493710678304808
cons.conf.idx,-40.59309674948013,-39.78978448275862,0.8033122667215125
euribor3m,3.8114911623071026,2.1231351293103446,-1.688356032996758
nr.employed,5176.166600087557,5095.11599137931,-81.05060870824673
